,post_title,post_content,reply_content,target
0,What is it like to study at UNSW Australia?,What is it like to study at UNSW Australia?,"I have recently finished my degree at UNSW, so I’ll tell you the following: Social Aspect: As others have stated, UNSW will have a LOT of Asian students. By rough estimation along walking the main walkway and surroundings, I’d dare say that at least 50% of UNSW is Chinese (comprising of international students, ABCs and others). If you don’t mind dealing and walking around with Asian people then this should be no problem. I have noticed that there’s quite a strong selective school culture here too. There’s a saying that for Sydney Boys/Sydney Girls High School students, attending UNSW feels exactly the same as attending school - just extend the bus ride down Anzac parade. Coming into UNSW during my first year, I didn’t feel any culture shock at UNSW because the selective school/tutoring culture was very prevalent. You would frequently see students who went tutoring with you in younger years (prep for selective tests and HSC) only to meet them at the same uni. There’s a LOT of societies at UNSW too. They range from your faculty clubs (Business Society, Actuarial Society, Mathematics Society, Engineering Society etc.), to career based clubs (UNIT, UCC, ECS, etc.) to fun based clubs (AnimeUNSW, Kpop Society, D2MG, etc.). Join them to make friends and connections that will potentially last you a life time. Not to mention that ARC membership (mostly a requirement to join clubs) is free if you’re a student of UNSW. In terms of food offerings, on campus there is Guzman Y Gomez (Mexican), Malaysian, Vietnamese, Chinese, Indian and a few other offerings. Coffee carts are great and coffee at UNSW is very good quality (at least compared to abroad). If you want better eats then you can go along Anzac parade to Kingsford and you’ll find plenty of Chinese, Japanese, Malaysian, Thai eateries. Go east and you’ll see Randwick for more food options including Coles and Woolworths for shopping. For drinking and partying you have the Roundhouse and the Whitehouse. The Roundhouse got a refurbishment lately so apparently it looks nice (I haven’t been myself). Don’t forget about Whitehouse Wednesdays (cheaper alcohol after 4pm). Roundhouse parties are pretty good too from what I’ve heard (although I don’t attend them). UNSW is a lot less political overall. This means that Arc board and SRC student elections will not have much of an impact on campus life compared to USYD and other universities where student politics plays a huge impact on campus life. The most political it became was just the issue of the BSOC elections and CEVSOC elections a few years ago, and that activity is tame compared to what happens at USYD. The Campus: Tbh the university campus is quite compacted. Lots of buildings that are at least 7–8 storeys high (building up) which is necessary due to the lack of land available. However that means that getting to and from places should take no more than 10 minutes. On the other hand UNSW does have heaps of stairs if you need to walk up from lower to upper campus. The Basser steps it is. Which means walking up and down might take a toll on your energy levels but will certainly improve your fitness levels. There’s some green area (village green, village lawn, physics lawn, naked lady lawn, globe lawn, library lawn) but most of UNSW is a concrete slab. That said still a lot of Instagram-worthy sites though. You can also tell UNSW is really making bank as evident by construction of new buildings, demolitions to existing buildings so it can build new ones. You can see all the crane towers on campus too. So as you walk by there is not a single time that you cannot hear construction noises. Faculties: As a general rule, undergrad at UNSW is quite difficult of a uni (compared to universities in the US, but easier than Singapore or India). You have to work hard to obtain good grades. Passing isn’t easy for many subjects (they recently got rid of pass conceeded grades) unless if you study smart and effective. Overall, lecturers are quite decent and willing to help. Unlike the US, your tutors here are normally 2nd, 3rd year+, honours, masters or PhD students (and they are not called TAs), however there are chances you can have lecturers as tutors depending on cohort sizes. Most of them are quite willing to help. In this section I’ll only comment on the faculties I know: UNSW Business School: UNSW Engineering: UNSW CSE (Computer Science and Engineering): Administration: As Imad Hashmi stated, UNSW does feel run like a business. Everything feels very efficiently run here. Enrolment, adding details, paying fees, deferring payment using HECS, course administration, receiving results all done online and can be done yourself. However, overloading courses and approving timetable clashes need to be approved in person (the only manual thing). You can do your timetable yourself, which is a great thing since you can dictate when you come to class (if you even go) so you can deal with part time and/or full time work. I know a lot of students do this and that’s how they get a foot in the door after graduation while studying at uni at the same time. Not only that I’ve noticed UNSW administrative staff are more willing to help you and try to get your needs met (compared to other unis). You can see that they’re desperate for money but they will work for it. Not to mention that I’ve used services over the phone and I did not wait anymore than 5 minutes on the online. Speak of efficiency. Special consideration requests are usually very lenient too (compared to USYD, where it is quite uniform and strict). Job prospects out of UNSW: For one there is UNSW Careers and Employment - so use that service if you’e having trouble finding a job/internship. Other than that I know that when I attend a lot of assessment centres (another fancy word for group interview), half of the room is full of UNSW people and other familiar faces. Also note that UNSW has one of the highest employment rates of the G08 universities. Not only to mention that UNSW produces the most millionaires in Australia of all universities combined. I noticed a few of my friends decided to do startups too, so tag along with that. ",food
1,Yongzhen Chen,Yongzhen Chen,,
2,Is UNSW the MIT of Australia?,Is UNSW the MIT of Australia?,"For parochial reasons, Australian National University (ANU) has funding thrown at it by the politicians because it’s in Canberra. It would be a bit embarrassing if the nation’s capital (which is in reality a small provincial city) had a provincial university to go along with it. It’s portrayed as Australia’s #1 research University. Whether this is actually the case I could not say for sure. Over he past few years Melbourne Uni has consistently been rated the #1 university in Australia. At other times this has not been the case. From what I hear, UNSW is good but I would not call it the MIT of Australia. UNSW is basically the Sydney equivalent of Monash Uni in Melbourne. You’ll find that Australian Universities generally have a strong focus on a small number of ‘boutique’ disciplines that get all the funding and prestige. Depending on the Uni this might be in IT or biotech, or medicine or solar power (or whatever). Don’t be surprised if some of the prestigious Australian Universities actually offer some average quality courses and vice versa. ",living
3,How good is UNSW?,How good is UNSW?,"Its good, but no where near as good as its marketing depicts it. I’ve worked and studied there, but like many other universities across the world it has become a business. Large class sizes and overwhelmed teaching staff make it quite unpleasant if you’re ever looking for help with your work. In terms of a social life its quite poor too, many students i’ve met leave disappointed with the lack of engagement they’ve had socially at UNSW. Things also suggests it could get notably worse in the not too distant future. It is moving towards trimesters in 2019 to maximise their income from students, and cutting support staff in some key areas which will likely impact the student experience. They will also be moving some academics to solely teaching positions which will mean that quality academics may look to leave UNSW and go somewhere they can continue their research. It will also mean in some cases students are not being taught by academics whose teaching is informed or influenced by current research. I’m not sure why you’re asking, but if it is about potentially going to UNSW i would suggest you properly think about why you want to go there. Don’t get me wrong, it has quite a good reputation but with whats in store for the future things may change. ",living
4,James,James,,
5,How hard Is it to get into UNSW?,How hard Is it to get into UNSW?,"Actually it isn’t very hard for international students trying to study to enter UNSW. I’ve known Chinese and Arab students who used the Foundation Programme set up by UNSW to allow students to enter the courses relevant to their streams. There are Foundations in Sciences, which gets students to enter the Science-related degree streams, Foundations in Design which is more towards Architecture and Design at UNSW Art and Design, and Foundations in Art, which allows student to enter the philosophy side of the degree programme. I say that although this is a very easy and surefire way to enter uni, even if you are a local student, there is a catch: You need to maintain your GPA (or WAM) in your course and make sure you don’t fail or you’ll need to retake. IELTS is also mandatory with an 8 (Last time i checked it was 7.5 but you might as well go 8 for better reasons- also relevant if you’re applying for a Visa) and you will need your high school leaving cert to show your potential to study that course. Its really gruelling, but rewards those who dare to finish this intense course in a year’s time. I got in with my ATAR which was a 91, and i went for design. For most Australians who desire to enter UNSW, it can be tough, but through the Foundation programme and ……a hefty amount of money, you will have a surefire way to enter the university! ",living
6,What are the best things for UNSW students to do on weekends?,What are the best things for UNSW students to do on weekends?,"This really depends on your interests, budget and living situation/location, but… For me, weekends were usually a trip to the markets, a specific event (like the knitting class at Kinokuniya or the Botanical Gardens’ plant sale), and then I’d do some uni work in a cafe or in a park with a picnic. Sometimes my favourite thing to do on the weekend was just get out of my apartment and away from my school work and just relax and wander around. ",living
7,What is the biggest difference between UNSW and USYD? Which one is better in the field of business and finance?,What is the biggest difference between UNSW and USYD? Which one is better in the field of business and finance?,,living
8,What are some helpful tips for students starting their first year at UNSW?,What are some helpful tips for students starting their first year at UNSW?,"I was primarily on the Art and Design campus, but this is what I learnt: And that is most of the general wisdom I have picked up from UNSW ;) Good luck! ",living
9,Lexie Jayne,Lexie Jayne,,
